accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,9:59:00,Tuesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,23:22:00,Saturday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:35:00,Thursday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Other,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:10:00,Tuesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,12:20:00,Wednesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,12:20:00,Wednesday,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Office areas
2.0,22:25:00,Thursday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:30:00,Tuesday,Other,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
2.0,11:30:00,Tuesday,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Residential areas
2.0,Unknown,Unknown,Unknown,Daylight,Fog or mist,Vehicle with vehicle collision,Unknown
2.0,11:30:00,Tuesday,,Daylight,Fog or mist,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Fog or mist,Rollover,Unknown
2.0,9:04:00,Thursday,Earth roads,Daylight,Fog or mist,Rollover,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Fog or mist,Vehicle with vehicle collision,Unknown
2.0,8:10:00,Monday,Asphalt roads,Daylight,Fog or mist,Vehicle with vehicle collision,  Recreational areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Fog or mist,Vehicle with vehicle collision,Unknown
2.0,16:00:00,Thursday,Asphalt roads,Daylight,Fog or mist,Vehicle with vehicle collision,Office areas
